country,lng,lat
Afghanistan,66.00473115,33.83523216
Aland,19.95324636,60.21490035
Albania,20.04983034,41.14245128
Algeria,2.61732102,28.15893844
American Samoa,-170.7180186,-14.30448922
Andorra,1.56053368,42.54229174
Angola,17.53736149,-12.29336112
Anguilla,-63.06498464,18.22396692
Antarctica,19.92113271,-80.50856414
Antigua and Barbuda,-61.7946956,17.27754256
Argentina,-65.17980881,-35.38135347
Armenia,44.9299343,40.28952206
Aruba,-69.98267466,12.52088881
Ashmore and Cartier Islands,123.5838304,-12.42994255
Australia,134.4909988,-25.73288736
Austria,14.12647809,47.58549847
Azerbaijan,47.54599646,40.28827674
Bahrain,50.54197759,26.04200845
Bangladesh,90.23812793,23.86730412
Barbados,-59.55980198,13.18145371
Belarus,28.03208711,53.53131155
Belgium,4.64064572,50.63981435
Belize,-88.71010228,17.20027475
Benin,2.32784527,9.6417533
Bermuda,-64.75454185,32.31368594
Bhutan,90.401895,27.4110619
Bolivia,-64.6853892,-16.70814536
Bosnia and Herzegovina,17.76876588,44.17449912
Botswana,23.7985373,-22.18402031
Brazil,-53.09783199,-10.78777567
British Indian Ocean Territory,72.44540239,-7.33058251
British Virgin Islands,-64.47140241,18.52593375
Brunei,114.7220255,4.51968241
Bulgaria,25.21552327,42.76889988
Burkina Faso,-1.7545684,12.26953681
Burundi,29.8751201,-3.35939257
Cambodia,104.9069431,12.72004932
Cameroon,12.73964266,5.69110296
Canada,-98.30775723,61.36206827
Cape Verde,-23.95990969,15.95518822
Cayman Islands,-80.91213058,19.42896455
Central African Republic,20.46826364,6.56823003
Chad,18.64493211,15.33333336
Chile,-71.38255879,-37.73069754
China,103.8190739,36.56176801
Colombia,-73.08114936,3.91383156
Comoros,43.68238096,-11.87777573
Cook Islands,-159.7872415,-21.21926813
Costa Rica,-84.19208786,9.9763424
Croatia,16.40413079,45.08047284
Cuba,-79.01606913,21.62290023
Curacao,-68.9712225,12.19552443
Cyprus,33.00600358,34.91666932
Czech Republic,15.31240065,49.73341073
Democratic Republic of the Congo,23.64395637,-2.87746013
Denmark,10.02799418,55.98126391
Djibouti,42.56067681,11.74872052
Dominica,-61.35773122,15.43947211
Dominican Republic,-70.50569086,18.8943308
East Timor,125.8443864,-8.8288854
Ecuador,-78.75203573,-1.42381949
Egypt,29.8618993,26.49593108
El Salvador,-88.87164456,13.73944008
England,-2.86563362,54.12387156
Equatorial Guinea,10.34138898,1.70554042
Eritrea,38.84615444,15.36186881
Estonia,25.54248555,58.67192416
Ethiopia,39.6008014,8.62278417
Falkland Islands,-59.35240055,-51.7448299
Faroe Islands,-6.88096322,62.05386227
Federated States of Micronesia,153.2370612,7.4528106
Fiji,165.4505548,-17.4285609
Finland,26.27467024,64.49884844
France,2.53618475,46.18700581
French Guiana,-53.2484462,3.92595718
French Polynesia,-144.9048876,-14.72228068
French Southern and Antarctic Lands,69.22673416,-49.24895992
Gabon,11.78863005,-0.58660329
Gambia,-15.39601809,13.44965377
Gaza,34.34757119,31.39150353
Georgia,43.50778995,42.16855944
Germany,10.38577693,51.10697903
Ghana,-1.21676901,7.95345124
Greece,22.95556207,39.07466973
Greenland,-41.34191035,74.71051369
Grenada,-61.68219415,12.1172555
Guam,144.7679224,13.4416655
Guatemala,-90.36482288,15.69404158
Guernsey,-2.57240158,49.46809855
Guinea,-10.94066379,10.43621595
Guinea Bissau,-14.94972941,12.04744454
Guyana,-58.98202596,4.79378052
Haiti,-72.68527364,18.93500961
Heard Island and McDonald Islands,73.52052712,-53.08725301
Honduras,-86.61516846,14.82688225
Hong Kong S.A.R.,114.1137986,22.39828782
Hungary,19.39559381,47.16277712
Iceland,-18.57397086,64.99575263
India,79.61197355,22.88578035
Indian Ocean Territories,104.8494652,-10.64829627
Indonesia,117.2400976,-2.21505018
Iran,54.27407071,32.57503287
Iraq,43.74353204,33.03970511
Ireland,-8.13793167,53.1754426
Isle of Man,-4.53873822,54.2241965
Israel,35.00444995,31.4611019
Italy,12.07000946,42.79663568
Ivory Coast,-5.56921598,7.62842868
Jamaica,-77.31482556,18.15695476
Japan,138.0308921,37.59230065
Jersey,-2.12687655,49.21837488
Jordan,36.77137251,31.24579389
Kazakhstan,67.29149657,48.15687954
Kenya,37.79594437,0.5998746
Kiribati,-45.6220913,0.86052252
Kosovo,20.87249613,42.57078418
Kuwait,47.58699362,29.33431677
Kyrgyzstan,74.54165548,41.46221785
Laos,103.7377213,18.50217971
Latvia,24.9123704,56.85085306
Lebanon,35.88016327,33.92306993
Lesotho,28.22722773,-29.5800467
Liberia,-9.32207781,6.45278273
Libya,18.00865782,27.03094247
Liechtenstein,9.53573593,47.13665447
Lithuania,23.88720035,55.32611078
Luxembourg,6.07182681,49.76724687
Macau S.A.R,113.509331,22.22310807
Macedonia,21.68211343,41.59531059
Madagascar,46.70473751,-19.37189599
Malawi,34.2893585,-13.2180697
Malaysia,109.6976155,3.78987255
Maldives,73.45711081,3.72854733
Mali,-3.54268794,17.34581461
Malta,14.40522042,35.92151315
Marshall Islands,170.3396364,7.00352799
Mauritania,-10.3477974,20.25736926
Mauritius,57.57120758,-20.2777156
Mexico,-102.5234504,23.94753932
Moldova,28.45673742,47.19499323
Monaco,7.40628055,43.75276115
Mongolia,103.0529965,46.82681435
Montenegro,19.2388382,42.7889115
Montserrat,-62.18519807,16.73941361
Morocco,-8.45616045,29.83762793
Mozambique,35.53367351,-17.27381898
Myanmar,96.48843207,21.18566514
Namibia,17.20962769,-22.13030791
Nauru,166.9325852,-0.51914199
Nepal,83.9158367,28.24891362
Netherlands,5.2814735,52.10080804
New Caledonia,165.6849208,-21.29990206
New Zealand,171.4849539,-41.81112825
Nicaragua,-85.03052894,12.84709633
Niger,9.38546454,17.41912605
Nigeria,8.08944243,9.59411807
Niue,-169.8699537,-19.0494623
Norfolk Island,167.949202,-29.05143845
North Korea,127.1924781,40.15350291
Northern Cyprus,33.5684401,35.2627605
Northern Mariana Islands,145.6196188,15.82873009
Norway,15.34832968,68.75014407
Oman,56.09165967,20.60515412
Pakistan,69.33958027,29.94975221
Palau,134.4082215,7.28760993
Panama,-80.11915152,8.5175119
Papua New Guinea,145.2074492,-6.46416276
Paraguay,-58.40014084,-23.22823896
Peru,-74.38242889,-9.15280281
Philippines,122.8839215,11.77539737
Pitcairn Islands,-128.3170409,-24.36498595
Poland,19.39011841,52.12759537
Portugal,-8.50105506,39.59550247
Puerto Rico,-66.47307314,18.22812711
Qatar,51.18478512,25.30600936
Republic of Serbia,20.78958121,44.22150308
Republic of the Congo,15.21965722,-0.83788172
Romania,24.97293286,45.85242939
Russia,96.68657347,61.98052168
Rwanda,29.91989113,-1.99033199
Saint Barthelemy,-62.84068712,17.89881045
Saint Helena,-9.54768684,-12.40367621
Saint Kitts and Nevis,-62.68754242,17.26458594
Saint Lucia,-60.96969329,13.8947837
Saint Martin,-63.05971623,18.08889331
Saint Pierre and Miquelon,-56.30319339,46.91919986
Saint Vincent and the Grenadines,-61.20129438,13.22471841
Samoa,-172.1648148,-13.75327339
San Marino,12.45923029,43.94186939
Sao Tome and Principe,6.72429635,0.44390851
Saudi Arabia,44.53687041,24.12245467
Senegal,-14.47348904,14.36624381
Seychelles,55.47601997,-4.66097821
Siachen Glacier,77.18011287,35.39236619
Sierra Leone,-11.79271209,8.56329069
Singapore,103.8172532,1.35877066
Sint Maarten,-63.05713283,18.05081813
Slovakia,19.47905212,48.70547175
Slovenia,14.8044464,46.11555444
Solomon Islands,159.6328471,-8.92175696
Somalia,45.70716243,4.75065195
Somaliland,46.2519833,9.73345795
South Africa,25.08388384,-29.0003377
South Georgia and South Sandwich Islands,-36.43320448,-54.46487151
South Korea,127.8391693,36.3852463
South Sudan,30.24790056,7.30877585
Spain,-3.64754874,40.24448626
Sri Lanka,80.70107795,7.61266309
Sudan,29.94047226,15.99035431
Suriname,-55.91234833,4.13055377
Swaziland,31.48193159,-26.55842734
Sweden,16.74371219,62.79232016
Switzerland,8.20866006,46.79785296
Syria,38.50787939,35.02547248
Taiwan,120.9542726,23.75400343
Tajikistan,71.01363312,38.53045125
Thailand,101.0028835,15.11816347
The Bahamas,-76.62835738,24.29031222
Togo,0.96232118,8.52529798
Tonga,-174.8097544,-20.42814141
Trinidad and Tobago,-61.26565805,10.45735757
Tunisia,9.55288287,34.11956663
Turkey,35.16895529,39.06160342
Turkmenistan,59.37099935,39.11554017
Turks and Caicos Islands,-71.97385725,21.83047424
Tuvalu,178.5198949,-7.76005828
Uganda,32.36907536,1.27469024
Ukraine,31.38325794,48.99656784
United Arab Emirates,54.30015737,23.90527175
United Republic of Tanzania,34.81310214,-6.27565815
United States,-112.4616706,45.67955203
United States Virgin Islands,-64.80300497,17.95501398
Uruguay,-56.01806795,-32.79951982
Uzbekistan,63.14001799,41.75554081
Vanuatu,167.6863674,-16.22630588
Vatican,12.43386255,41.90174097
Venezuela,-66.18184085,7.12422395
Vietnam,106.2991386,16.64601451
Wallis and Futuna,-177.3481331,-13.88724988
West Bank,35.24782134,31.94798033
Western Sahara,-12.2198297,24.22956358
Yemen,47.58676005,15.90927655
Zambia,27.77475082,-13.45824537
Zimbabwe,29.85145031,-19.00420587
